license_nbr,lic_status,business_name,business_name2,building,street_name,city,state,zip,swc_type,swc_sq_ft,swc_tables,swc_chairs,dohmh,lat,long,community_district,city_council_district,cd_url,app_id,app_swc_type,app_sq_ft,app_tables,app_chairs,app_status,app_status_date,expiration_date,app_too_date,submit_date,intake,intake_dd,dpqa,send_package_dd,cp,cp_dd,cb,cb_dd,hearing,hearing_dd,hearing_public,hearing_public_dd,cc,cc_dd,moo,moo_dd,issuance,issuance_dd,borough
2007744-DCA,Active,PAOLA'S RESTAURANT GROUP LLC,PAOLA'S RESTAURANT,1295,MADISON AVE,NEW YORK,NY,10128,Small Unenclosed,216,6,24,41387793,40.784762253918736,-73.95581166287904,108,4,http://www.cb8m.com/,539-2019-RSWC,Small Unenclosed,216,6,24,Application Review Completed,2019-01-04T00:00:00Z,2020-12-15T00:00:00Z,NA,2019-01-04T00:00:00Z,Ready For Review,2019-01-04T00:00:00Z,Approved,NA,Pending Review,2019-01-04T00:00:00Z,Pending Review,NA,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Issued,2019-01-04T00:00:00Z,Manhattan
2023070-DCA,Active,NISIDA LLC,ROSSOPOMODORO,118,GREENWICH AVE,NEW YORK,NY,10011,Unenclosed,286,8,16,50016133,40.73845591200488,-74.00217233718264,102,3,http://www.nyc.gov/manhattancb2,35846-2019-RSWC,Unenclosed,286,8,16,Application Review Completed,2019-12-19T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-12-19T00:00:00Z,Ready For Review,2019-12-19T00:00:00Z,Approved,NA,Proceed,2019-12-19T00:00:00Z,Review Period Expired,2019-12-19T00:00:00Z,Waived,2019-12-19T00:00:00Z,NA,NA,Approved,2019-12-19T00:00:00Z,Approved,2019-12-19T00:00:00Z,Issued,2019-12-19T00:00:00Z,Manhattan
2086160-DCA,Active,217 W85 LLC,ELEA,217,W 85TH ST,NEW YORK,NY,10024,Unenclosed,178,10,20,50084669,40.78779298564097,-73.97630686700556,107,6,http://www.nyc.gov/mcb7,2637-2019-ASWC,Unenclosed,178,10,20,Application Review Completed,2019-07-16T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-03-14T00:00:00Z,Ready For Review,2019-03-14T00:00:00Z,Approved,2019-03-14T00:00:00Z,NA,NA,Recommend Approval,2019-05-15T00:00:00Z,Recommendation Issued,2019-05-15T00:00:00Z,SWC Public Hearing,2019-05-01T00:00:00Z,Review Period Expired,2019-06-11T00:00:00Z,NA,NA,Issued,2019-07-16T00:00:00Z,Manhattan
2085595-DCA,Inactive,OYA CORP,NA,200,ALLEN ST,NEW YORK,NY,10002,Enclosed,340,12,24,500879778,40.722582454563735,-73.9886574727677,103,1,http://www.nyc.gov/manhattancb3,1117-2019-ASWC,Enclosed,340,12,24,Pending Review,2020-01-22T00:00:00Z,2020-04-22T00:00:00Z,2020-04-22T00:00:00Z,2019-02-04T00:00:00Z,Ready For Review,2019-02-05T00:00:00Z,Issued Temp Op Letter,2019-02-05T00:00:00Z,Pending Review,2019-02-05T00:00:00Z,Pending Review,2019-02-05T00:00:00Z,Pending Review,NA,NA,NA,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
1396587-DCA,Active,"FLAGSHIP S B AMSTERDAM NY, LLC",SARAVANA BHAVAN,413,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,198,11,22,41578669,40.78351699411563,-73.97782860937444,107,6,http://www.nyc.gov/mcb7,15378-2019-RSWC,Unenclosed,198,11,22,Application Review Completed,2019-07-12T00:00:00Z,2021-04-15T00:00:00Z,2019-07-15T00:00:00Z,2019-03-22T00:00:00Z,Ready For Review,2019-03-27T00:00:00Z,Approved,2019-03-27T00:00:00Z,NA,NA,Review Period Expired,2019-05-16T00:00:00Z,Waived,2019-05-16T00:00:00Z,NA,NA,Review Period Expired,2019-06-06T00:00:00Z,Approved,2019-07-12T00:00:00Z,Issued,2019-07-12T00:00:00Z,Manhattan
2090170-DCA,Active,HOST 213 LLC,JACKDAW,213,2ND AVE,NEW YORK,NY,10003,Unenclosed,262,11,22,50092650,40.73187858974942,-73.9854951270192,103,2,http://www.nyc.gov/manhattancb3,8132-2019-ASWC,Unenclosed,262,11,22,Application Review Completed,2019-11-12T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-07-10T00:00:00Z,Ready For Review,2019-07-10T00:00:00Z,Approved,2019-07-11T00:00:00Z,NA,NA,Review Period Expired,2019-09-04T00:00:00Z,Recommendation Issued,2019-09-04T00:00:00Z,SWC Public Hearing,2019-08-28T00:00:00Z,Review Period Expired,2019-09-26T00:00:00Z,Approved,2019-11-12T00:00:00Z,Issued,2019-11-12T00:00:00Z,Manhattan
2056574-DCA,Inactive,"LA PETIT AMELIE, LLC",AMELIE,566,AMSTERDAM AVE,NEW YORK,NY,10024,Unenclosed,85,4,8,50062669,40.78875051013006,-73.97449367392039,107,6,http://www.nyc.gov/mcb7,1143-2020-RSWC,Unenclosed,85,4,8,Pending Review,2020-02-18T00:00:00Z,2020-03-31T00:00:00Z,2020-03-31T00:00:00Z,2020-01-17T00:00:00Z,Ready For Review,2020-01-17T00:00:00Z,Issued Temp Op Letter,2020-01-21T00:00:00Z,Pending Review,2020-01-21T00:00:00Z,Pending Review,2020-01-21T00:00:00Z,Pending Review,NA,SWC Public Hearing,2020-03-11T00:00:00Z,Pending Review,NA,Pending Review,NA,Pending Review,NA,Manhattan
1421014-DCA,Active,"135 WEST B FOOD & DRINK, LLC",TINY'S AND THE BAR UPSTAIRS,135,W BROADWAY,NEW YORK,NY,10013,Unenclosed,112,5,10,41582631,40.71670070807451,-74.00811655028954,101,1,http://www.nyc.gov/html/mancb1/html/home/home.shtml,30704-2018-RSWC,Unenclosed,112,5,10,Application Review Completed,2019-05-23T00:00:00Z,2020-12-15T00:00:00Z,NA,2018-12-05T00:00:00Z,Ready For Review,2018-12-05T00:00:00Z,Approved,2018-12-13T00:00:00Z,NA,NA,Review Period Expired,2019-01-24T00:00:00Z,Waived,2019-01-24T00:00:00Z,NA,NA,Review Period Expired,2019-02-14T00:00:00Z,Approved,2019-05-23T00:00:00Z,Issued,2019-05-23T00:00:00Z,Manhattan
2071243-DCA,Inactive,FUSHA FUSION RESTAURANT INC,NA,1065,1ST AVE,NEW YORK,NY,10022,Small Unenclosed,93,6,12,50060603,40.75919463627756,-73.96250288132947,106,5,http://cbsix.org,5205-2018-ASWC,Small Unenclosed,93,6,12,Application Review Completed,2018-07-19T00:00:00Z,2020-09-15T00:00:00Z,NA,2018-03-16T00:00:00Z,Ready For Review,2018-03-16T00:00:00Z,Approved,2018-03-20T00:00:00Z,NA,NA,Review Period Expired,2018-05-10T00:00:00Z,Recommendation Issued,2018-05-16T00:00:00Z,SWC Public Hearing,2018-05-09T00:00:00Z,Review Period Expired,2018-06-06T00:00:00Z,Approved,2018-07-12T00:00:00Z,Issued,2018-07-19T00:00:00Z,Manhattan
2088550-DCA,Active,MARLINSPIKE HALL LLC,THE JONES,54,GREAT JONES ST,NEW YORK,NY,10012,Unenclosed,109,3,6,50093245,40.726719099664166,-73.99221776402976,102,1,http://www.nyc.gov/manhattancb2,6114-2019-ASWC,Unenclosed,109,3,6,Application Review Completed,2019-09-26T00:00:00Z,2021-12-15T00:00:00Z,NA,2019-05-24T00:00:00Z,Ready For Review,2019-05-24T00:00:00Z,Approved,2019-05-28T00:00:00Z,NA,NA,Recommend Approval,2019-07-17T00:00:00Z,Recommendation Issued,2019-07-17T00:00:00Z,SWC Public Hearing,2019-07-17T00:00:00Z,Review Period Expired,2019-08-13T00:00:00Z,Approved,2019-09-26T00:00:00Z,Issued,2019-09-26T00:00:00Z,Manhattan
